[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 446, READ INSTS: 48, LAST WRITE DURATION: 258, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.72868
READ DURATION: 450, READ INSTS: 47, LAST WRITE DURATION: 302, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.49007
READ DURATION: 598, READ INSTS: 60, LAST WRITE DURATION: 215, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.7814
READ DURATION: 731, READ INSTS: 73, LAST WRITE DURATION: 207, LAST WRITE INSTS: 21, R/W DURATION RATIO: 3.5314
READ DURATION: 445, READ INSTS: 48, LAST WRITE DURATION: 220, LAST WRITE INSTS: 38, R/W DURATION RATIO: 2.02273
READ DURATION: 535, READ INSTS: 51, LAST WRITE DURATION: 231, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.31602
READ DURATION: 624, READ INSTS: 60, LAST WRITE DURATION: 307, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.03257
READ DURATION: 470, READ INSTS: 43, LAST WRITE DURATION: 200, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.35
READ DURATION: 393, READ INSTS: 35, LAST WRITE DURATION: 267, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.47191
READ DURATION: 2447, READ INSTS: 125, LAST WRITE DURATION: 209, LAST WRITE INSTS: 27, R/W DURATION RATIO: 11.7081
READ DURATION: 2043, READ INSTS: 51, LAST WRITE DURATION: 337, LAST WRITE INSTS: 49, R/W DURATION RATIO: 6.06231
READ DURATION: 622, READ INSTS: 56, LAST WRITE DURATION: 268, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.3209
READ DURATION: 572, READ INSTS: 53, LAST WRITE DURATION: 231, LAST WRITE INSTS: 30, R/W DURATION RATIO: 2.47619
READ DURATION: 599, READ INSTS: 61, LAST WRITE DURATION: 226, LAST WRITE INSTS: 36, R/W DURATION RATIO: 2.65044
READ DURATION: 485, READ INSTS: 49, LAST WRITE DURATION: 272, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.78309
READ DURATION: 547, READ INSTS: 45, LAST WRITE DURATION: 147, LAST WRITE INSTS: 15, R/W DURATION RATIO: 3.72109
READ DURATION: 923, READ INSTS: 96, LAST WRITE DURATION: 250, LAST WRITE INSTS: 36, R/W DURATION RATIO: 3.692
READ DURATION: 530, READ INSTS: 50, LAST WRITE DURATION: 371, LAST WRITE INSTS: 43, R/W DURATION RATIO: 1.42857
READ DURATION: 617, READ INSTS: 66, LAST WRITE DURATION: 275, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.24364
READ DURATION: 595, READ INSTS: 57, LAST WRITE DURATION: 205, LAST WRITE INSTS: 19, R/W DURATION RATIO: 2.90244
READ DURATION: 458, READ INSTS: 43, LAST WRITE DURATION: 233, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.96567
READ DURATION: 473, READ INSTS: 49, LAST WRITE DURATION: 317, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.49211
READ DURATION: 638, READ INSTS: 69, LAST WRITE DURATION: 278, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.29496
READ DURATION: 2073, READ INSTS: 58, LAST WRITE DURATION: 234, LAST WRITE INSTS: 23, R/W DURATION RATIO: 8.85897
READ DURATION: 930, READ INSTS: 96, LAST WRITE DURATION: 275, LAST WRITE INSTS: 26, R/W DURATION RATIO: 3.38182
READ DURATION: 221, READ INSTS: 18, LAST WRITE DURATION: 403, LAST WRITE INSTS: 40, R/W DURATION RATIO: 0.548387
WAITED CYCLES: 297
