[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cactuBSSN.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 410, READ INSTS: 46, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.62698
READ DURATION: 418, READ INSTS: 47, LAST WRITE DURATION: 292, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.43151
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.55396
READ DURATION: 400, READ INSTS: 45, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.53846
READ DURATION: 410, READ INSTS: 46, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.39456
READ DURATION: 432, READ INSTS: 49, LAST WRITE DURATION: 284, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.52113
READ DURATION: 2863, READ INSTS: 92, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 11.0115
READ DURATION: 2365, READ INSTS: 147, LAST WRITE DURATION: 220, LAST WRITE INSTS: 20, R/W DURATION RATIO: 10.75
READ DURATION: 3071, READ INSTS: 182, LAST WRITE DURATION: 283, LAST WRITE INSTS: 36, R/W DURATION RATIO: 10.8516
READ DURATION: 2351, READ INSTS: 129, LAST WRITE DURATION: 208, LAST WRITE INSTS: 22, R/W DURATION RATIO: 11.3029
READ DURATION: 1977, READ INSTS: 122, LAST WRITE DURATION: 261, LAST WRITE INSTS: 37, R/W DURATION RATIO: 7.57471
READ DURATION: 1090, READ INSTS: 119, LAST WRITE DURATION: 1741, LAST WRITE INSTS: 40, R/W DURATION RATIO: 0.626077
WAITED CYCLES: 264
READ DURATION: 1836, READ INSTS: 202, LAST WRITE DURATION: 275, LAST WRITE INSTS: 18, R/W DURATION RATIO: 6.67636
READ DURATION: 2056, READ INSTS: 192, LAST WRITE DURATION: 172, LAST WRITE INSTS: 24, R/W DURATION RATIO: 11.9535
READ DURATION: 1806, READ INSTS: 199, LAST WRITE DURATION: 268, LAST WRITE INSTS: 33, R/W DURATION RATIO: 6.73881
READ DURATION: 2121, READ INSTS: 205, LAST WRITE DURATION: 210, LAST WRITE INSTS: 22, R/W DURATION RATIO: 10.1
READ DURATION: 1239, READ INSTS: 121, LAST WRITE DURATION: 143, LAST WRITE INSTS: 28, R/W DURATION RATIO: 8.66434
READ DURATION: 569, READ INSTS: 47, LAST WRITE DURATION: 1459, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.389993
WAITED CYCLES: 566
READ DURATION: 499, READ INSTS: 52, LAST WRITE DURATION: 281, LAST WRITE INSTS: 36, R/W DURATION RATIO: 1.7758
READ DURATION: 469, READ INSTS: 48, LAST WRITE DURATION: 230, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.03913
READ DURATION: 534, READ INSTS: 52, LAST WRITE DURATION: 273, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.95604
READ DURATION: 498, READ INSTS: 47, LAST WRITE DURATION: 285, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.74737
READ DURATION: 530, READ INSTS: 58, LAST WRITE DURATION: 283, LAST WRITE INSTS: 35, R/W DURATION RATIO: 1.87279
