[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 218, READ INSTS: 22, LAST WRITE DURATION: 285, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.764912
WAITED CYCLES: 3
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.10092
READ DURATION: 1630, READ INSTS: 23, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 6.03704
READ DURATION: 235, READ INSTS: 24, LAST WRITE DURATION: 272, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.863971
READ DURATION: 228, READ INSTS: 24, LAST WRITE DURATION: 219, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.0411
READ DURATION: 242, READ INSTS: 25, LAST WRITE DURATION: 271, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.892989
READ DURATION: 208, READ INSTS: 21, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.881356
READ DURATION: 229, READ INSTS: 23, LAST WRITE DURATION: 272, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.841912
READ DURATION: 280, READ INSTS: 30, LAST WRITE DURATION: 231, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.21212
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.05263
READ DURATION: 218, READ INSTS: 23, LAST WRITE DURATION: 238, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.915966
READ DURATION: 217, READ INSTS: 23, LAST WRITE DURATION: 220, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.986364
READ DURATION: 224, READ INSTS: 23, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.783217
READ DURATION: 234, READ INSTS: 24, LAST WRITE DURATION: 228, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.02632
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.895522
READ DURATION: 218, READ INSTS: 23, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.923729
READ DURATION: 234, READ INSTS: 26, LAST WRITE DURATION: 216, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.08333
READ DURATION: 243, READ INSTS: 23, LAST WRITE DURATION: 266, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.913534
READ DURATION: 197, READ INSTS: 21, LAST WRITE DURATION: 281, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.701068
WAITED CYCLES: 21
READ DURATION: 213, READ INSTS: 22, LAST WRITE DURATION: 273, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.78022
READ DURATION: 475, READ INSTS: 53, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.59396
READ DURATION: 465, READ INSTS: 51, LAST WRITE DURATION: 270, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.72222
READ DURATION: 513, READ INSTS: 58, LAST WRITE DURATION: 227, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.25991
